SAULT STE. MARIE,8671,20050,57.04,L,DAVID ORAZIETTI

,,11379,32.37,ND,*TONY MARTIN

,,2674,7.61,PC,BRUCE WILLSON

,,606,1.72,FCP,AL WALKER

,,441,1.25,GP,DAN BROSEMER






SCARBOROUGH-AGINCOURT,11689,23026,61.1,L,*GERRY PHILLIPS

,,11337,30.08,PC,YOLANDA CHAN

,,2209,5.86,ND,STACY DOUGLAS

,,566,1.5,GP,LAWRENCE J. ARKILANDER

,,550,1.46,FCP,TONY IERACI






SCARBOROUGH CENTRE,10012,21698,52.07,L,BRAD DUGUID

,,11686,28.04,PC,*MARILYN MUSHINSKI

,,3653,8.77,ND,MICHAEL LAXER

,,3259,7.82,IND,COSTAS MANIOS

,,642,1.54,GP,ROBERT CARTY

,,495,1.19,FCP,JOSEPH INTERNICOLA

,,241,0.58,C,ELIZABETH ROWLEY






SCARBOROUGH EAST,7475,21798,51.5,L,MARY ANNE CHAMBERS

,,14323,33.84,PC,*STEVE GILCHRIST

,,5250,12.4,ND,GARY DALE

,,668,1.58,GP,HUGH MCNEIL

,,285,0.67,LTN,SAM APELBAUM






SCARBOROUGH-ROUGE RIVER,14508,23976,63.85,L,*ALVIN CURLING

,,9468,25.21,PC,KEVIN MOORE

,,2246,5.98,ND,JEAN-PAUL YOVANOFF

,,1326,3.53,GP,KAREN MACDONALD

,,536,1.43,FCP,MITCHELL A. PERSAUD






SCARBOROUGH SOUTHWEST,5675,17501,46.93,L,LORENZO BERARDINETTI

,,11826,31.71,PC,*DAN NEWMAN

,,6688,17.94,ND,BARBARA WARNER

,,689,1.85,GP,ANDREW STRACHAN

,,586,1.57,FCP,RAY SCOTT






SIMCOE-GREY,8609,26114,51.47,PC,*JIM WILSON

,,17505,34.5,L,MARK REDMOND

,,5032,9.92,ND,LEO LOSEREIT

,,875,1.72,GP,GEOFFREY MAILE

,,801,1.58,FCP,STEVEN J. TAYLOR

,,411,0.81,LTN,PHILIP BENDER






SIMCOE NORTH,3680,23393,46.13,PC,*GARFIELD DUNLOP

,,19713,38.87,L,PAUL SLOAN

,,5515,10.87,ND,JOHN NIDDERY

,,1540,3.04,GP,NINA PRUESSE

,,453,0.89,FCP,BLAINE SCOTT

,,101,0.2,IND,KARNAIL SINGH






ST. CATHARINES,12387,25319,57.44,L,*JIM BRADLEY

,,12932,29.34,PC,MARK BRICKELL

,,3944,8.95,ND,JOHN BACHER

,,1167,2.65,GP,JIM FANNON

,,714,1.62,FCP,LINDA KLASSEN






ST. PAUL'S,13684,24887,54.76,L,*MICHAEL BRYANT

,,11203,24.65,PC,CHARIS KELSO

,,6740,14.83,ND,JULIAN HELLER

,,2266,4.99,GP,PETER ELGIE

,,354,0.78,FR,CAROL LEBORG






STONEY CREEK,5234,24751,48.93,L,JENNIFER MOSSOP

,,19517,38.58,PC,*BRAD CLARK

,,5419,10.71,ND,LORRIE MCKIBBON

,,898,1.78,GP,RICHARD SAFKA






STORMONT-DUNDAS-CHARLOTTENBURGH,5610,19558,51.18,L,JIM BROWNELL

,,13948,36.5,PC,TODD LALONDE

,,2098,5.49,GP,TOM MANLEY

,,1639,4.29,ND,MATT Z. SUMEGI

