Nova Scotia
61
Nova Scotia,,,Trevor Zinck,Trevor Zinck,Nova Scotia New Democratic Party,4053,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Jim Smith,Jim Smith,Nova Scotia Liberal Party,2316,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Alex Donaldson ,Alex Donaldson ,Green Party of Nova Scotia,205,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Dartmouth South-Portland Valley,Dartmouth South-Portland Valley,George Jordan,George Jordan,Progressive Conservative Association of Nova Scotia,1389,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Marilyn More,Marilyn More,Nova Scotia New Democratic Party,5583,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Colin Hebb,Colin Hebb,Nova Scotia Liberal Party,2946,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,David Croft,David Croft,Green Party of Nova Scotia,310,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Digby-Annapolis,Digby-Annapolis,Cindy Nesbitt,Cindy Nesbitt,Progressive Conservative Association of Nova Scotia,852,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Sherri Oliver,Sherri Oliver,Nova Scotia New Democratic Party,1092,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Harold Theriault,Harold Theriault,Nova Scotia Liberal Party,3514,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Namron Bean,Namron Bean,Green Party of Nova Scotia,78,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Eastern Shore,Eastern Shore,Bill Dooks,Bill Dooks,Progressive Conservative Association of Nova Scotia,2557,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Sidney Prest,Sidney Prest,Nova Scotia New Democratic Party,3628,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Loretta Day Halleran,Loretta Day Halleran,Nova Scotia Liberal Party,992,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Michael Marshall,Michael Marshall,Green Party of Nova Scotia,194,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Glace Bay,Glace Bay,Tom MacPherson,Tom MacPherson,Progressive Conservative Association of Nova Scotia,810,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Myrtle Campbell,Myrtle Campbell,Nova Scotia New Democratic Party,2829,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Dave Wilson,Dave Wilson,Nova Scotia Liberal Party,3380,Yes,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,Todd Pettigrew ,Todd Pettigrew ,Green Party of Nova Scotia,82,,,,,,,,,,,,,,,,,,,,,,,,
